sr,rr,t,lm,bo,rem,hs,hr,sl
93.8,25.68,91.84,16.6,89.84,99.6,1.84,74.2,3
91.64,25.104,91.552,15.88,89.552,98.88,1.552,72.76,3
60.0,20.0,96.0,10.0,95.0,85.0,7.0,60.0,1
85.76,23.536,90.768,13.92,88.768,96.92,0.768,68.84,3
48.12,17.248,97.872,6.496,96.248,72.48,8.248,53.12,0
56.88,19.376,95.376,9.376,94.064,83.44,6.376,58.44,1
47.0,16.8,97.2,5.6,95.8,68.0,7.8,52.0,0
50.0,18.0,99.0,8.0,97.0,80.0,9.0,55.0,0
45.28,16.112,96.168,4.224,95.112,61.12,7.112,50.28,0
55.52,19.104,95.104,9.104,93.656,82.76,6.104,57.76,1
73.44,21.344,93.344,11.344,91.344,91.72,4.016,63.36,2
59.28,19.856,95.856,9.856,94.784,84.64,6.856,59.64,1
48.6,17.44,98.16,6.88,96.44,74.4,8.44,53.6,0
96.288,26.288,85.36,17.144,82.432,100.36,0.0,75.72,4
87.8,24.08,91.04,14.6,89.04,97.6,1.04,70.2,3
52.32,18.464,94.464,8.464,92.696,81.16,5.464,56.16,1
52.64,18.528,94.528,8.528,92.792,81.32,5.528,56.32,1
86.24,23.664,90.832,14.08,88.832,97.08,0.832,69.16,3
81.56,22.416,90.208,12.52,88.208,95.52,0.208,66.04,3
63.68,20.368,92.368,10.368,90.368,86.84,2.552,60.92,2
77.6,21.76,93.76,11.76,91.76,93.8,4.64,64.4,2
77.28,21.728,93.728,11.728,91.728,93.64,4.592,64.32,2
69.76,20.976,92.976,10.976,90.976,89.88,3.464,62.44,2
88.04,24.144,91.072,14.68,89.072,97.68,1.072,70.36,3
89.96,24.656,91.328,15.32,89.328,98.32,1.328,71.64,3
53.68,18.736,94.736,8.736,93.104,81.84,5.736,56.84,1
78.56,21.856,93.856,11.856,91.856,94.28,4.784,64.64,2
50.96,18.192,94.192,8.192,92.288,80.48,5.192,55.48,1
94.76,25.936,91.968,16.92,89.968,99.92,1.968,74.84,3
62.08,20.208,92.208,10.208,90.208,86.04,2.312,60.52,2
49.12,17.648,98.472,7.296,96.648,76.48,8.648,54.12,0
96.256,26.256,85.32,17.128,82.384,100.32,0.0,75.64,4
47.68,17.072,97.608,6.144,96.072,70.72,8.072,52.68,0
99.904,29.904,89.88,18.952,87.856,104.88,0.0,84.76,4
60.0,20.0,92.0,10.0,90.0,85.0,2.0,60.0,2
86.72,23.792,90.896,14.24,88.896,97.24,0.896,69.48,3
48.48,17.392,98.088,6.784,96.392,73.92,8.392,53.48,0
98.528,28.528,88.16,18.264,85.792,103.16,0.0,81.32,4
46.12,16.448,96.672,4.896,95.448,64.48,7.448,51.12,0
59.04,19.808,95.808,9.808,94.712,84.52,6.808,59.52,1
71.68,21.168,93.168,11.168,91.168,90.84,3.752,62.92,2
48.4,17.36,98.04,6.72,96.36,73.6,8.36,53.4,0
46.08,16.432,96.648,4.864,95.432,64.32,7.432,51.08,0
97.024,27.024,86.28,17.512,83.536,101.28,0.0,77.56,4
53.2,18.64,94.64,8.64,92.96,81.6,5.64,56.6,1
65.44,20.544,92.544,10.544,90.544,87.72,2.816,61.36,2
98.144,28.144,87.68,18.072,85.216,102.68,0.0,80.36,4
58.8,19.76,95.76,9.76,94.64,84.4,6.76,59.4,1
69.6,20.96,92.96,10.96,90.96,89.8,3.44,62.4,2
48.44,17.376,98.064,6.752,96.376,73.76,8.376,53.44,0
97.504,27.504,86.88,17.752,84.256,101.88,0.0,78.76,4
58.64,19.728,95.728,9.728,94.592,84.32,6.728,59.32,1
73.92,21.392,93.392,11.392,91.392,91.96,4.088,63.48,2
56.0,21.0,98.95014354839958,4.0,96.0,69.0,10.0,50.0,0
52.0,21.0,93.49799638345672,5.0,94.0,68.0,8.0,58.0,0
66.0,21.0,85.83881329701063,6.0,93.0,95.0,10.0,64.0,0
59.0,21.0,90.83726311381204,5.0,96.0,74.0,7.0,62.0,0
51.0,26.0,97.25609413200856,5.0,93.0,71.0,9.0,63.0,0
54.0,27.0,85.24961996958854,6.0,92.0,84.0,8.0,57.0,0
63.0,19.0,97.05963817622307,6.0,92.0,94.0,7.0,51.0,0
65.0,16.0,85.12287741464496,6.0,93.0,64.0,8.0,59.0,0
53.0,28.0,95.2653138580325,7.0,93.0,62.0,10.0,62.0,0
47.0,19.0,93.86908569082556,4.0,94.0,67.0,7.0,63.0,0
